age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality
83,1933,,May,2009, Professor Emeritus of Voice (Oberlin Conservatory of Music),Richard Miller,American
32,1984, bicycle accident,May,2009,American professor (University of Denver),Erik Bluemel,American
48,1968, cancer,May,2009,American bassist (Lynyrd Skynyrd),Ean Evans,American
71,1945,,May,2009,Russian poet and literary critic,Lev Losev,Russian
85,1931,,May,2009,Russian general,Valentin Varennikov,Russian
89,1927,,May,2009,American actor (The Wizard of Oz),Mickey Carroll,American
66,1950, throat cancer,May,2009,American actress (The Flying Nun),Linda Dangcil,American
92,1924, pneumonia,May,2009,American baseball player (Boston Red Sox) brother of Joe DiMaggio,Dom DiMaggio,American
83,1933, aspiration pneumonia,May,2009,Japanese Go player,Hideyuki Fujisawa,Japanese
89,1927,,May,2009, Bishop of Novo Hamburgo (1986–1995),Carlos Kloppenburg,Brazilian
75,1941,,May,2009,American baseball player (Kenosha Comets),Eunice Taylor,American
60,1956, throat cancer,May,2009,American songwriter and guitarist (Kris Kristofferson band),Stephen Bruton,American
46,1970,,May,2009,Belgian-born Ukrainian equestrian,Jean-Claude Van Geenberghe,Belgian-born
89,1927, U,May,2009,American politician and Roman Catholic priest,Robert John Cornell,American
64,1952, stroke,May,2009,British keyboardist and songwriter (Jigsaw),Clive Scott,British
27,1989, car accident,May,2009,American football player (Berlin Thunder),Brian Simnjanovski,American
82,1934,,May,2009, Prime Minister (1957–1958 1959 2003) and Vice-President (2003–2005),Abel Goumba,Central
93,1923,,May,2009, Chief of Naval Staff (1970–1973),S. M. Nanda,Indian
81,1935,,May,2009, Member of the New South Wales Legislative Council (1976–1988),Peter Philips,Australian
61,1955, after long illness,May,2009,Sri Lankan politician Governor of Sabaragamuwa Province (2008–2009),Mohan Saliya Ellawala,Sri
28,1988, cancer,May,2009,Norwegian screenwriter (Max Manus),Thomas Nordseth-Tiller,Norwegian
77,1939, heart attack,May,2009,French theatre director,Roger Planchon,French
51,1965, pneumonia,May,2009,Spanish pop singer-songwriter (Nacha Pop),Antonio Vega,Spanish
83,1933, cancer,May,2009,American character actor (It's About Time),Frank Aletter,American
108,1908, WWI-era veteran,May,2009,Brazilian Field Marshal,Waldemar Levy Cardoso,Brazilian
94,1922, first person to ascend K2,May,2009,Italian mountaineer,Achille Compagnoni,Italian
81,1935,,May,2009,Colombian Vallenato composer and troubador,Rafael Escalona,Colombian
75,1941,,May,2009,Swiss footballer,Norbert Eschmann,Swiss
88,1928, after short illness,May,2009,American public servant Chairman of the FDIC (1985–1991),L. William Seidman,American
86,1930,,May,2009,Welsh footballer (Cardiff City Newport County),Ken Hollyman,Welsh
87,1929,,May,2009, Minister of Foreign Affairs (1995–1996),Susanna Agnelli,Italian
77,1939, fall,May,2009,Filipino politician Congressman (1998–2007) Governor of Davao del Norte (1992–1998),Prospero Amatong,Filipino
96,1920, emphysema,May,2009,Guatemalan Olympic fencer and diplomat,Antonio Chocano,Guatemalan
90,1926, after short illness,May,2009,British Anglican prelate Bishop of Carlisle (1972–1989),Henry David Halsey,British
66,1950,,May,2009,Hungarian footballer and Olympic champion,Sándor Katona,Hungarian
81,1935, Alzheimer's disease,May,2009,British footballer (Bristol Rovers),Peter Sampson,British
103,1913,,May,2009,Greek-born French businessman (Groupe Danone),Daniel Carasso,Greek-born
91,1925,,May,2009, member of the Victorian Legislative Council (1967–1982),Murray Hamilton,Australian
84,1932, respiratory failure,May,2009,Japanese public servant Governor of the Bank of Japan (1998–2003),Masaru Hayami,Japanese
67,1949, complications from Lou Gehrig's disease,May,2009,American football player (Washington Redskins Cleveland Browns),Ron Snidow,American
62,1954, complications from diabetes,May,2009,American voice artist (Mickey Mouse),Wayne Allwine,American
64,1952, lung cancer,May,2009,American actress (Sanford and Son Grady) daughter of Nat King Cole,Carole Cole,American
45,1971, missile attack,May,2009,Sri Lankan rebel leader of the LTTE naval wing (Sea Tigers),Thillaiyampalam Sivanesan,Sri
42,1974,,May,2009,Russian footballer,Andrei Ivanov,Russian
38,1978, leukemia,May,2009,Norwegian footballer,Knut Hammer Larsen,Norwegian
73,1943, heart failure,May,2009,British composer (Odyssey),Nicholas Maw,British
95,1921,,May,2009,Canadian ice hockey player (New York Rangers Chicago Blackhawks),Clint Smith,Canadian
84,1932,,May,2009,Canadian architect (Simon Fraser University Roy Thomson Hall),Arthur Erickson,Canadian
